"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","Class"
"61",108,202,255,133,82,85,114,122,96,70,64,74,76,68,57,50,54,55,52,46,40,43,43,41,38,85,114,122,96,70,72,88,92,79,63,58,65,67,61,53,47,50,51,48,44,39,41,41,40,37,64,74,76,68,57,58,65,67,61,53,50,54,55,52,46,42,45,45,43,40,36,37,38,37,34,50,54,55,52,46,47,50,51,48,44,42,45,45,43,40,37,39,39,38,36,33,34,34,33,32,40,43,43,41,38,39,41,41,40,37,36,37,38,37,34,33,34,34,33,32,29,30,30,30,29,0
"62",89,158,255,146,92,73,100,116,98,73,57,68,72,67,57,45,50,52,50,45,37,40,41,40,37,73,100,116,98,73,64,79,87,78,64,52,60,63,60,52,43,47,48,47,43,36,38,39,38,36,57,68,72,67,57,52,60,63,60,52,45,50,52,50,45,39,42,43,42,39,33,35,36,35,33,45,50,52,50,45,43,47,48,47,43,39,42,43,42,39,34,36,37,36,34,30,32,32,32,30,37,40,41,40,37,36,38,39,38,36,33,35,36,35,33,30,32,32,32,30,27,28,29,28,28,0
"64",132,254,255,139,93,101,132,133,103,78,74,85,85,76,63,57,62,62,58,52,46,48,49,47,43,101,132,133,103,78,84,101,102,86,69,67,74,75,68,59,54,57,58,54,49,44,46,46,45,41,74,85,85,76,63,67,74,75,68,59,57,62,62,58,52,48,51,51,49,45,41,43,43,41,39,57,62,62,58,52,54,57,58,54,49,48,51,51,49,45,43,44,44,43,40,37,38,39,38,36,46,48,49,47,43,44,46,46,45,41,41,43,43,41,39,37,38,39,38,36,34,34,35,34,32,0
"66",174,255,136,82,58,105,117,94,69,52,69,73,66,55,45,51,52,50,44,39,40,41,39,37,33,105,117,94,69,52,82,87,76,61,49,61,63,59,51,43,47,48,46,42,37,38,39,38,35,32,69,73,66,55,45,61,63,59,51,43,51,52,50,45,39,42,43,41,38,34,35,36,35,33,30,51,52,50,44,39,47,48,46,42,37,42,43,41,38,34,37,37,36,34,31,32,32,32,30,28,40,41,39,37,33,38,39,38,35,32,35,36,35,33,30,32,32,32,30,28,29,29,28,27,26,1
"68",147,255,150,86,59,96,114,97,71,53,65,70,66,55,46,49,51,49,44,38,38,39,38,36,33,96,114,97,71,53,76,85,77,62,49,58,61,58,51,43,45,47,45,42,37,37,38,37,35,32,65,70,66,55,46,58,61,58,51,43,49,51,49,44,39,40,41,40,38,34,34,35,34,32,30,49,51,49,44,38,45,47,45,42,37,40,41,40,38,34,35,36,35,33,31,31,31,31,29,28,38,39,38,36,33,37,38,37,35,32,34,35,34,32,30,31,31,31,29,28,27,28,28,27,25,1
"70",170,255,137,82,57,103,116,94,69,52,69,72,66,55,45,50,52,49,44,39,40,40,39,36,33,103,116,94,69,52,81,87,76,61,48,61,63,59,51,43,47,48,46,42,37,38,39,37,35,32,69,72,66,55,45,61,63,59,51,43,51,52,49,44,39,42,43,41,38,34,35,35,35,33,30,50,52,49,44,39,47,48,46,42,37,42,43,41,38,34,36,37,36,34,31,32,32,31,30,28,40,40,39,36,33,38,39,37,35,32,35,35,35,33,30,32,32,31,30,28,28,29,28,27,26,0
"73",131,255,213,113,74,96,124,118,88,65,69,78,76,66,55,53,56,56,51,45,42,44,44,41,38,96,124,118,88,65,79,93,91,75,59,62,68,67,60,51,49,52,52,48,43,40,42,42,40,37,69,78,76,66,55,62,68,67,60,51,53,56,56,51,45,44,46,46,43,39,37,39,38,37,34,53,56,56,51,45,49,52,52,48,43,44,46,46,43,39,39,40,40,38,35,34,35,35,33,32,42,44,44,41,38,40,42,42,40,37,37,39,38,37,34,34,35,35,33,32,30,31,31,30,29,0
"74",136,255,167,93,62,94,115,102,75,56,65,71,68,58,48,49,51,50,46,40,39,40,39,37,34,94,115,102,75,56,76,86,80,65,51,58,62,60,53,45,46,48,47,43,38,37,38,38,36,33,65,71,68,58,48,58,62,60,53,45,49,51,50,46,40,41,42,41,39,35,34,35,35,33,31,49,51,50,46,40,46,48,47,43,38,41,42,41,39,35,36,37,36,34,32,31,32,31,30,28,39,40,39,37,34,37,38,38,36,33,34,35,35,33,31,31,32,31,30,28,28,28,28,27,26,0
"76",204,255,133,82,58,115,122,96,70,54,75,77,69,57,47,54,55,52,46,40,43,43,41,38,35,115,122,96,70,54,89,92,79,63,50,66,67,61,53,44,51,51,49,44,39,41,41,40,37,34,75,77,69,57,47,66,67,61,53,44,55,55,52,46,40,45,45,44,40,36,38,38,37,35,32,54,55,52,46,40,51,51,49,44,39,45,45,44,40,36,39,39,38,36,33,34,34,33,32,30,43,43,41,38,35,41,41,40,37,34,38,38,37,35,32,34,34,33,32,30,30,31,30,29,27,1
"77",189,255,133,81,57,110,119,95,69,53,72,74,67,56,46,53,54,51,45,39,41,42,40,37,34,110,119,95,69,53,85,89,77,62,49,63,65,60,52,43,49,50,47,43,38,39,40,39,36,33,72,74,67,56,46,63,65,60,52,43,53,54,51,45,39,43,44,42,39,35,36,37,36,34,31,53,54,51,45,39,49,50,47,43,38,43,44,42,39,35,38,38,37,35,32,33,33,32,31,29,41,42,40,37,34,39,40,39,36,33,36,37,36,34,31,33,33,32,31,29,29,30,29,28,26,1
"78",140,255,156,89,61,94,114,99,73,55,65,70,66,56,47,48,51,49,45,39,38,39,39,36,33,94,114,99,73,55,76,85,78,63,50,58,62,59,52,44,45,47,46,42,37,37,38,37,35,32,65,70,66,56,47,58,62,59,52,44,48,51,49,45,39,40,42,41,38,34,34,35,34,33,30,48,51,49,45,39,45,47,46,42,37,40,42,41,38,34,35,36,36,34,31,31,31,31,30,28,38,39,39,36,33,37,38,37,35,32,34,35,34,33,30,31,31,31,30,28,28,28,28,27,25,0
"79",161,255,141,85,61,101,115,95,71,54,68,72,66,56,46,50,52,49,45,39,40,40,39,37,33,101,115,95,71,54,79,86,77,62,49,60,63,59,51,43,47,48,46,42,37,38,38,38,35,32,68,72,66,56,46,60,63,59,51,43,50,52,49,45,39,42,42,41,38,35,35,35,35,33,30,50,52,49,45,39,47,48,46,42,37,42,42,41,38,35,36,37,36,34,31,32,32,31,30,28,40,40,39,37,33,38,38,38,35,32,35,35,35,33,30,32,32,31,30,28,28,29,28,27,26,0
"80",134,255,197,107,72,96,121,113,84,63,68,76,74,64,53,52,55,54,50,44,41,43,42,40,37,96,121,113,84,63,78,91,87,72,57,61,66,65,58,49,48,51,50,47,42,39,41,40,38,36,68,76,74,64,53,61,66,65,58,49,52,55,54,50,44,43,45,45,42,38,36,38,37,36,33,52,55,54,50,44,48,51,50,47,42,43,45,45,42,38,38,39,39,37,34,33,34,34,33,31,41,43,42,40,37,39,41,40,38,36,36,38,37,36,33,33,34,34,33,31,30,30,30,29,28,1
"81",188,255,135,84,61,110,120,96,71,54,72,75,68,57,47,53,54,51,46,40,42,42,41,38,34,110,120,96,71,54,85,90,78,63,50,64,66,61,52,44,49,50,48,43,38,40,40,39,36,33,72,75,68,57,47,64,66,61,52,44,53,54,51,46,40,44,44,43,40,36,37,37,36,34,31,53,54,51,46,40,49,50,48,43,38,44,44,43,40,36,38,39,37,35,32,33,33,33,31,29,42,42,41,38,34,40,40,39,36,33,37,37,36,34,31,33,33,33,31,29,30,30,29,28,27,1
"82",206,255,133,82,58,116,123,96,70,54,75,77,69,57,47,55,55,52,46,40,43,43,42,39,35,116,123,96,70,54,89,92,79,63,50,66,67,62,53,44,51,52,49,44,39,41,41,40,37,34,75,77,69,57,47,66,67,62,53,44,55,56,52,47,40,45,46,44,40,36,38,38,37,35,32,55,55,52,46,40,51,52,49,44,39,45,46,44,40,36,39,40,38,36,33,34,34,33,32,30,43,43,42,39,35,41,41,40,37,34,38,38,37,35,32,34,34,33,32,30,31,31,30,29,27,1
"83",179,255,133,80,56,106,117,94,68,52,70,73,66,55,45,51,52,50,44,39,40,41,39,37,33,106,117,94,68,52,83,88,76,61,48,62,64,59,51,43,48,49,46,42,37,38,39,38,35,32,70,73,66,55,45,62,64,59,51,43,51,52,50,44,39,42,43,41,38,34,35,36,35,33,30,51,52,50,44,39,48,49,46,42,37,42,43,41,38,34,37,37,36,34,31,32,32,32,30,28,40,41,39,37,33,38,39,38,35,32,35,36,35,33,30,32,32,32,30,28,29,29,28,27,26,1
"84",187,255,134,82,58,109,119,95,69,53,72,74,67,56,46,52,53,51,45,39,41,42,40,37,34,109,119,95,69,53,85,89,77,62,49,63,65,60,52,43,49,50,47,43,38,39,40,39,36,33,72,74,67,56,46,63,65,60,52,43,52,54,51,45,39,43,44,42,39,35,36,37,36,34,31,52,53,51,45,39,49,50,47,43,38,43,44,42,39,35,38,38,37,35,32,33,33,32,31,29,41,42,40,37,34,39,40,39,36,33,36,37,36,34,31,33,33,32,31,29,29,30,29,28,26,1
"85",192,255,132,80,57,111,120,94,69,52,72,75,67,56,46,53,54,51,45,39,41,42,40,37,34,111,120,94,69,52,86,90,77,61,49,64,65,60,52,43,49,50,47,43,38,40,40,39,36,33,72,75,67,56,46,64,65,60,52,43,53,54,51,45,39,44,44,42,39,35,37,37,36,34,31,53,54,51,45,39,49,50,47,43,38,44,44,42,39,35,38,38,37,35,32,33,33,32,31,29,41,42,40,37,34,40,40,39,36,33,37,37,36,34,31,33,33,32,31,29,30,30,29,28,26,1
"87",187,255,132,80,57,109,119,94,69,52,71,74,67,55,46,52,53,50,45,39,41,41,40,37,34,109,119,94,69,52,84,89,77,61,49,63,65,60,51,43,49,49,47,43,38,39,40,38,36,33,71,74,67,55,46,63,65,60,51,43,52,53,50,45,39,43,44,42,39,35,36,36,35,33,31,52,53,50,45,39,49,49,47,43,38,43,44,42,39,35,38,38,37,35,32,33,33,32,31,28,41,41,40,37,34,39,40,38,36,33,36,36,35,33,31,33,33,32,31,28,29,29,29,28,26,1
"88",209,255,132,81,58,116,123,96,70,53,75,77,69,57,47,55,56,52,47,40,43,43,42,39,35,116,123,96,70,53,90,93,79,63,50,66,68,62,53,44,51,52,49,44,39,41,41,40,37,34,75,77,69,57,47,66,68,62,53,44,55,56,52,47,41,45,46,44,40,36,38,38,37,35,32,55,56,52,47,40,51,52,49,44,39,45,46,44,40,36,39,40,38,36,33,34,34,34,32,30,43,43,42,39,35,41,41,40,37,34,38,38,37,35,32,34,34,34,32,30,31,31,30,29,27,1
"89",187,255,132,80,57,109,119,94,69,52,71,74,67,55,45,52,53,50,45,39,41,41,40,37,34,109,119,94,69,52,84,89,77,61,48,63,65,60,51,43,49,49,47,42,37,39,40,38,36,33,71,74,67,55,45,63,65,60,51,43,52,53,50,45,39,43,44,42,39,35,36,36,35,33,31,52,53,50,45,39,49,49,47,42,37,43,44,42,39,35,38,38,37,34,32,33,33,32,31,28,41,41,40,37,34,39,40,38,36,33,36,36,35,33,31,33,33,32,31,28,29,29,29,28,26,1
"90",209,255,131,81,58,117,123,96,70,53,75,77,69,57,47,55,56,52,47,41,43,43,42,39,35,117,123,96,70,53,90,93,79,63,50,66,68,62,53,44,51,52,49,44,39,41,41,40,37,34,75,77,69,57,47,66,68,62,53,44,55,56,52,47,41,45,46,44,40,36,38,38,37,35,32,55,56,52,47,41,51,52,49,44,39,45,46,44,40,36,40,40,38,36,33,34,34,34,32,30,43,43,42,39,35,41,41,40,37,34,38,38,37,35,32,34,34,34,32,30,31,31,30,29,27,1
"93",213,255,132,82,58,118,124,96,71,54,76,78,69,58,47,56,56,53,47,41,44,44,42,39,35,118,124,96,71,54,91,93,80,63,50,67,68,62,53,45,52,52,49,45,39,42,42,40,38,34,76,78,69,58,47,67,68,62,53,45,56,56,53,47,41,46,46,44,41,36,38,39,37,35,32,56,56,53,47,41,52,52,49,45,39,46,46,44,41,36,40,40,39,36,33,35,35,34,32,30,44,44,42,39,35,42,42,40,38,34,38,39,37,35,32,35,35,34,32,30,31,31,30,29,27,1
"95",178,255,156,100,81,110,123,105,81,65,75,79,73,64,54,56,58,55,51,45,44,45,44,42,38,110,123,105,81,65,87,94,85,71,58,67,69,66,58,50,52,54,52,48,43,42,43,42,40,37,75,79,73,64,54,67,69,66,58,50,56,58,55,51,45,47,48,46,44,40,39,40,39,37,35,56,58,55,51,45,52,54,52,48,43,47,48,46,44,40,41,41,41,39,36,36,36,36,34,32,44,45,44,42,38,42,43,42,40,37,39,40,39,37,35,36,36,36,34,32,32,32,32,31,29,0
"96",139,255,178,102,71,96,119,107,81,61,68,74,71,61,51,51,54,53,48,43,41,42,41,39,36,96,119,107,81,61,78,89,84,69,55,60,65,63,56,48,48,50,49,45,41,39,40,40,38,35,68,74,71,61,51,60,65,63,56,48,51,54,53,48,43,43,44,44,41,37,36,37,37,35,33,51,54,53,48,43,48,50,49,45,41,43,44,44,41,37,37,38,38,36,34,33,33,33,32,30,41,42,41,39,36,39,40,40,38,35,36,37,37,35,33,33,33,33,32,30,29,30,30,29,27,0
"98",155,255,143,84,59,98,114,95,70,53,66,71,65,55,45,49,51,49,44,38,39,40,39,36,33,98,114,95,70,53,78,85,76,61,49,59,62,58,51,43,46,47,45,42,37,37,38,37,35,32,66,71,65,55,45,59,62,58,51,43,49,51,49,44,39,41,42,41,38,34,34,35,34,32,30,49,51,49,44,38,46,47,45,42,37,41,42,41,38,34,36,36,35,33,31,31,31,31,30,28,39,40,39,36,33,37,38,37,35,32,34,35,34,32,30,31,31,31,30,28,28,28,28,27,25,0
"99",162,255,138,82,57,100,115,94,69,52,67,71,65,55,45,50,51,49,44,38,39,40,39,36,33,100,115,94,69,52,79,85,76,61,48,59,62,58,50,42,46,47,45,41,37,37,38,37,35,32,67,71,65,55,45,59,62,58,50,42,50,51,49,44,38,41,42,41,38,34,34,35,34,32,30,50,51,49,44,38,46,47,45,41,37,41,42,41,38,34,36,36,35,33,31,31,31,31,29,28,39,40,39,36,33,37,38,37,35,32,34,35,34,32,30,31,31,31,29,28,28,28,28,27,25,0
"100",171,255,135,82,58,104,116,94,69,53,69,72,66,55,45,51,52,49,44,39,40,40,39,37,33,104,116,94,69,53,81,87,76,61,49,61,63,59,51,43,47,48,46,42,37,38,39,38,35,32,69,72,66,55,45,61,63,59,51,43,51,52,49,44,39,42,43,41,38,34,35,36,35,33,30,51,52,49,44,39,47,48,46,42,37,42,43,41,38,34,36,37,36,34,31,32,32,31,30,28,40,40,39,37,33,38,39,38,35,32,35,36,35,33,30,32,32,31,30,28,28,29,28,27,26,0
"102",170,255,138,85,59,103,116,95,70,53,69,72,66,56,46,51,52,50,45,39,40,41,39,37,33,103,116,95,70,53,81,87,77,62,49,61,63,59,51,43,47,48,46,42,37,38,39,38,35,32,69,72,66,56,46,61,63,59,51,43,51,52,50,45,39,42,43,41,38,35,35,36,35,33,30,51,52,50,45,39,47,48,46,42,37,42,43,41,38,35,37,37,36,34,31,32,32,32,30,28,40,41,39,37,33,38,39,38,35,32,35,36,35,33,30,32,32,32,30,28,29,29,28,27,26,0
"104",169,255,136,82,57,103,116,94,69,52,68,72,65,55,45,50,52,49,44,38,40,40,39,36,33,103,116,94,69,52,80,86,76,61,48,60,63,58,50,42,47,48,46,42,37,38,38,37,35,32,68,72,65,55,45,60,63,58,50,42,50,52,49,44,38,42,42,41,38,34,35,35,34,33,30,50,52,49,44,38,47,48,46,42,37,42,42,41,38,34,36,37,36,34,31,31,32,31,30,28,40,40,39,36,33,38,38,37,35,32,35,35,34,33,30,31,32,31,30,28,28,28,28,27,25,0
"105",171,255,135,80,56,103,116,94,68,52,69,72,65,55,45,50,52,49,44,38,40,40,39,36,33,103,116,94,68,52,81,87,76,60,48,61,63,58,50,42,47,48,46,42,37,38,38,37,35,32,69,72,65,55,45,61,63,58,50,42,50,52,49,44,38,42,42,41,38,34,35,35,34,33,30,50,52,49,44,38,47,48,46,42,37,42,42,41,38,34,36,37,36,34,31,32,32,31,30,28,40,40,39,36,33,38,38,37,35,32,35,35,34,33,30,32,32,31,30,28,28,29,28,27,25,1
"106",173,255,136,82,57,104,117,94,69,52,69,72,66,55,45,51,52,50,44,39,40,41,39,37,33,104,117,94,69,52,82,87,76,61,49,61,63,59,51,43,47,48,46,42,37,38,39,38,35,32,69,72,66,55,45,61,63,59,51,43,51,52,50,44,39,42,43,41,38,34,35,36,35,33,30,51,52,50,44,39,47,48,46,42,37,42,43,41,38,34,37,37,36,34,31,32,32,32,30,28,40,41,39,37,33,38,39,38,35,32,35,36,35,33,30,32,32,32,30,28,29,29,28,27,26,1
"107",148,255,151,92,68,97,115,98,74,57,66,72,67,58,48,50,52,50,46,40,39,40,40,37,34,97,115,98,74,57,77,86,79,64,52,59,63,60,53,45,46,48,47,43,38,38,39,38,36,33,66,72,67,58,48,59,63,60,53,45,50,52,50,46,40,41,43,42,39,35,35,36,35,33,31,50,52,50,46,40,46,48,47,43,38,41,43,42,39,35,36,37,36,35,32,31,32,32,30,29,39,40,40,37,34,38,39,38,36,33,35,36,35,33,31,31,32,32,30,29,28,29,28,28,26,0
"109",148,255,156,102,88,98,117,103,81,67,68,74,71,63,54,52,54,53,49,44,41,43,42,40,37,98,117,103,81,67,79,89,83,70,59,61,65,63,57,50,48,50,50,47,42,39,41,40,39,36,68,74,71,63,54,61,65,63,57,50,52,54,53,49,44,43,45,44,42,39,37,38,37,36,34,52,54,53,49,44,48,50,50,47,42,43,45,44,42,39,38,39,39,37,35,33,34,34,33,31,41,43,42,40,37,39,41,40,39,36,37,38,37,36,34,33,34,34,33,31,30,30,30,30,28,0
"110",137,255,179,107,76,95,118,108,83,63,67,74,72,63,52,51,54,53,49,43,41,42,42,40,36,95,118,108,83,63,78,89,85,71,57,60,65,64,57,49,48,50,49,46,41,39,40,40,38,35,67,74,72,63,52,60,65,64,57,49,51,54,53,49,43,43,44,44,41,38,36,37,37,35,33,51,54,53,49,43,48,50,49,46,41,43,44,44,41,38,37,39,38,37,34,33,33,33,32,30,41,42,42,40,36,39,40,40,38,35,36,37,37,35,33,33,33,33,32,30,29,30,30,29,28,0
"114",151,255,143,84,58,97,113,95,70,52,65,70,65,55,45,49,50,48,44,38,38,39,38,36,33,97,113,95,70,52,77,84,76,61,48,58,61,58,50,42,45,47,45,41,36,37,37,37,34,31,65,70,65,55,45,58,61,58,50,42,49,50,48,44,38,40,41,40,37,34,34,34,34,32,30,49,50,48,44,38,45,47,45,41,36,40,41,40,37,34,35,36,35,33,30,31,31,31,29,27,38,39,38,36,33,37,37,37,34,31,34,34,34,32,30,31,31,31,29,27,27,28,27,26,25,0
"117",88,155,255,146,86,72,98,115,96,71,56,67,71,66,56,45,49,51,49,44,37,39,40,39,36,72,98,115,96,71,63,78,86,77,62,52,59,62,59,51,42,46,47,46,42,35,37,38,37,35,56,67,71,66,56,52,59,62,59,51,45,49,51,49,44,38,41,42,41,38,33,34,35,34,33,45,49,51,49,44,42,46,47,46,42,38,41,42,41,38,34,36,36,36,34,30,31,32,31,30,37,39,40,39,36,35,37,38,37,35,33,34,35,34,33,30,31,32,31,30,27,28,28,28,27,0
"118",133,255,189,106,73,95,120,110,83,63,67,75,73,63,52,51,54,53,49,43,41,42,42,40,36,95,120,110,83,63,78,90,86,71,57,60,66,64,57,49,48,50,50,46,41,39,40,40,38,35,67,75,73,63,52,60,66,64,57,49,51,54,53,49,43,43,44,44,42,38,36,37,37,35,33,51,54,53,49,43,48,50,50,46,41,43,44,44,42,38,37,39,38,37,34,33,34,33,32,30,41,42,42,40,36,39,40,40,38,35,36,37,37,35,33,33,34,33,32,30,29,30,30,29,28,0
"119",149,255,153,90,64,97,115,99,73,56,66,72,67,57,47,50,52,50,45,40,39,40,39,37,34,97,115,99,73,56,78,86,79,64,51,59,63,60,52,44,46,48,47,43,38,38,38,38,36,33,66,72,67,57,47,59,63,60,52,44,50,52,50,45,40,41,42,41,39,35,35,35,35,33,31,50,52,50,45,40,46,48,47,43,38,41,42,41,39,35,36,37,36,34,32,31,32,32,30,28,39,40,39,37,34,38,38,38,36,33,35,35,35,33,31,31,32,32,30,28,28,29,28,27,26,0
"120",148,255,152,91,63,97,115,98,73,55,66,71,67,57,47,49,51,50,45,40,39,40,39,37,34,97,115,98,73,55,77,86,78,63,51,59,62,59,52,44,46,48,46,42,38,37,38,37,35,32,66,71,67,57,47,59,62,59,52,44,49,51,50,45,40,41,42,41,38,35,34,35,35,33,31,49,51,50,45,40,46,48,46,42,38,41,42,41,38,35,36,37,36,34,31,31,32,31,30,28,39,40,39,37,34,37,38,37,35,32,34,35,35,33,31,31,32,31,30,28,28,28,28,27,26,0
"122",147,255,151,90,66,96,114,98,73,57,66,71,67,57,48,49,51,50,45,40,39,40,39,37,34,96,114,98,73,57,77,86,78,64,51,59,62,59,52,45,46,48,46,43,38,37,38,38,36,33,66,71,67,57,48,59,62,59,52,45,49,51,50,45,40,41,42,41,39,35,35,35,35,33,31,49,51,50,45,40,46,48,46,43,38,41,42,41,39,35,36,37,36,34,32,31,32,31,30,28,39,40,39,37,34,37,38,38,36,33,35,35,35,33,31,31,32,31,30,28,28,28,28,27,26,0
